Name,Category,Sub Category,Rate,Tax,Product Group 1,Product Group 2,Product Group 3
Peri Peri Chicken Pizza - Large,Pizzas,Non Veg,380,GST 5%,Peri Peri,Continental,Chicken
Peri Peri Chicken Pizza - Regular,Pizzas,Non Veg,280,GST 5%,Peri Peri,Continental,Chicken
Peri Peri Chicken Roll,Rolls,Non Veg,195,GST 5%,,Indian,Chicken
Peri Peri Fries,Appetizers,Veg,140,GST 5%,,Continental,
Pesto Pasta - Chicken,Pastas,Non Veg,320,GST 5%,,Continental,
Pesto Pasta - Veg,Pastas,Veg,290,GST 5%,,Continental,
Pineapple Juice,Beverages,Fresh Juice,80,GST 5%,,Indian,Pineapple
Pink Lips,Beverages,Milkshakes,140,GST 5%,,Indian,
Pink Pasta - Chicken,Pastas,Non Veg,290,GST 5%,,Continental,Chicken
Pink Pasta - Veg,Pastas,Veg,260,GST 5%,,Continental,
Pistanut - I/C - Regular,Desserts,Icecreams,100,GST 5%,,Indian,
Pistanut - I/C - Single,Desserts,Icecreams,50,GST 5%,,Indian,
Pistanut M/S,Beverages,Milkshakes,140,GST 5%,,Indian,
Pitchupotta Chicken,Appetizers,Non Veg,230,GST 5%,,Indian,Chicken
Plain Biryani,Main Course,Biryanis,170,GST 5%,,Indian,
Plain Dosa,Dosas,Veg,40,GST 5%,,Indian,
Plain Omlette,Appetizers,Non Veg,50,GST 5%,,Indian,Egg
Plain Rice,Main Course,Rice Varieties,80,GST 5%,,Indian,
Plain Uthappam,Dosas,Veg,40,GST 5%,,Indian,
Platter - Non-Veg,Appetizers,Non Veg,430,GST 5%,,Indian,
Podi Dosa,Dosas,Veg,50,GST 5%,,Indian,
Pomfret Fish Fry,Kick Grass Specials,Non Veg,180,GST 5%,,Indian,Fish
Popcorn Chicken,Appetizers,Non Veg,120,GST 5%,Fried,Continental,Chicken
Prawn Biryani,Main Course,Biryanis,280,GST 5%,,Indian,Prawn
Prawn Cocktail Salad,Sides,Salads,140,GST 5%,,Continental,Prawn
Prawn Fry Masala,Curries,Non Veg,290,GST 5%,,Indian,Prawn
Prawn Toast,Appetizers,Non Veg,180,GST 5%,,Continental,Prawns
Pulka,Main Course,Indian Breads,30,GST 5%,,Indian,
Rava Dosa,Dosas,Veg,60,GST 5%,,Indian,
Red Diesel,Beverages,Mojitos,140,GST 5%,,Continental,
Reshmi Kebab,Appetizers,Non Veg,170,GST 5%,,Indian,Chicken
Roasted Chicken Salad,Sides,Salads,180,GST 5%,,Continental,Chicken
Roasted Chicken Slices,Snack,Non Veg,120,GST 5%,,Continental,Chicken
Rumali Roti,Main Course,Indian Breads,60,GST 5%,,Indian,
Russian Salad,Sides,Salads,140,GST 5%,,Continental,
Salt & Pepper - Babycorn,Appetizers,Veg,190,GST 5%,Salt & Pepper,Continental,Babycorn
Salt & Pepper - Chicken,Appetizers,Non Veg,240,GST 5%,Salt & Pepper,Continental,Chicken
Salt & Pepper - Mushroom,Appetizers,Veg,190,GST 5%,Salt & Pepper,Continental,Mushroom
Salt & Pepper - Prawn,Appetizers,Non Veg,290,GST 5%,Salt & Pepper,Continental,Prawn
Sambar Rice,Main Course,Rice Varieties,80,GST 5%,,Indian,
Schezwan Chicken,Appetizers,Non Veg,160,GST 5%,,Chinese,Chicken
Schezwan Fried Rice - Chicken,Fried Rice,Non Veg,230,GST 5%,Schezwan,Chinese,Chicken
Schezwan Fried Rice - Egg,Fried Rice,Non Veg,220,GST 5%,Schezwan,Chinese,Egg
Schezwan Fried Rice - Veg,Fried Rice,Veg,190,GST 5%,Schezwan,Chinese,
Schezwan Noodles - Chicken,Noodles,Non Veg,230,GST 5%,Schezwan,Chinese,Chicken
Schezwan Noodles - Egg,Noodles,Non Veg,220,GST 5%,Schezwan,Chinese,Egg
Schezwan Noodles - Veg,Noodles,Veg,190,GST 5%,Schezwan,Chinese,
Scrambled Egg,Appetizers,Non Veg,60,GST 5%,,Indian,Egg
Seafood Lasagna,Snack,Non Veg,320,GST 5%,Lasagna,Continental,Fish
Seafood Pizza - Large,Pizzas,Non Veg,590,GST 5%,Seafood Pizza,Continental,Fish
Seafood Pizza - Small,Pizzas,Non Veg,480,GST 5%,Seafood Pizza,Continental,Fish
Seafood Sizzlers,Sizzlers,Non Veg,460,GST 5%,,Continental,Fish
Seasonal fruits,Beverages,Fresh Juice,60,GST 5%,,Indian,
Set Dosa,Dosas,Veg,60,GST 5%,,Indian,
Sheek Kebab - Chicken,Appetizers,Non Veg,230,GST 5%,,Indian,Chicken
Sheek Kebab - Fish,Appetizers,Non Veg,290,GST 5%,,Indian,Fish
Sheek Kebab - Mutton,Appetizers,Non Veg,290,GST 5%,,Indian,Mutton
Shorba - Chicken Soup,Soups,Non Veg,100,GST 5%,,Chinese,Chicken
Shorba - Veg Soup,Soups,Veg,90,GST 5%,,Chinese,
Shredded Chicken,Appetizers,Non Veg,220,GST 5%,,Chinese,Chicken
Smoked - Chicken on the Flame,Appetizers,Non Veg,230,GST 5%,Tandoori,Tandoori,Chicken
Smoked - Mushroom,Appetizers,Veg,210,GST 5%,Smoked,Indian,Mushroom
Smoked - Paneer,Appetizers,Veg,210,GST 5%,Smoked,Indian,Paneer
Spanish Omlette,Appetizers,Non Veg,170,GST 5%,,Continental,Egg
Spicy Paprika Sandwich,Sandwiches,Veg ,160,GST 5%,,Continental,
Strawberry - I/C - Regular,Desserts,Icecreams,70,GST 5%,,Indian,
Strawberry - I/C - Single,Desserts,Icecreams,35,GST 5%,,Indian,
Strawberry M/S,Beverages,Milkshakes,120,GST 5%,,Indian,
Stuffed Bell Peppers,Appetizers,Veg,130,GST 5%,,Continental,
Stuffed Kulcha,Main Course,Indian Breads,140,GST 5%,,Indian,
Stuffed Mushroom,Appetizers,Veg,120,GST 5%,,Continental,
Stuffed Paratha,Main Course,Indian Breads,140,GST 5%,,Indian,
Sukka - Chicken,Appetizers,Non Veg,240,GST 5%,Sukka,Indian,Chicken
Sukka - Fish,Appetizers,Non Veg,280,GST 5%,Sukka,Indian,Fish
Sukka - Mutton,Appetizers,Non Veg,280,GST 5%,Sukka,Indian,Mutton
Sukka - Prawn,Appetizers,Non Veg,280,GST 5%,Sukka,Indian,Prawn
Sundae of the day,Desserts,Pastry,280,GST 5%,,Indian,
Sunset Surprise,Beverages,Mojitos,140,GST 5%,,Continental,
Sweet of the day,Desserts,Sweets,120,GST 5%,,Indian,
Sweetcorn Soup - Chicken,Soups,Non Veg,100,GST 5%,,Chinese,
Sweetcorn Soup - Veg,Soups,Veg,90,GST 5%,,Chinese,
Tandoori Chicken - Full,Appetizers,Non Veg,580,GST 5%,Tandoori,Indian,
Tandoori Chicken - Half,Appetizers,Non Veg,290,GST 5%,Tandoori,Indian,
Tandoori Grilled - Chicken Sandwich,Sandwiches,Non Veg,130,GST 5%,,Continental,
Tawa Chicken-Rice/Salad,Kick Grass Specials,Non Veg,180,GST 5%,,Continental,Chicken
Tawa Toasted Chicken - Rice/Salad,Kick Grass Specials,Non Veg,180,GST 5%,,Continental,Chicken
Tea,Beverages,Hot,20,GST 5%,,Indian,Tea
Thai Basil Fried Rice - Chicken,Fried Rice,Non Veg,230,GST 5%,Thai Basil,Chinese,Chicken
Thai Basil Fried Rice - Veg,Fried Rice,Veg,200,GST 5%,Thai Basil,Chinese,
Thai Basil Noodles - Chicken,Noodles,Non Veg,230,GST 5%,Thai Basil,Chinese,Chicken
Thai Basil Noodles - Veg,Noodles,Veg,200,GST 5%,Thai Basil,Chinese,
Thai Sizzlers,Sizzlers,Non Veg,270,GST 5%,,Continental,Fish
Thalluvandi Chicken,Appetizers,Non Veg,230,GST 5%,,Indian,Chicken
Thoothukudi Chicken Dry,Appetizers,Non Veg,230,GST 5%,,Indian,Chicken
Tikka - Chicken,Appetizers,Non Veg,240,GST 5%,,Indian,Chicken
Tikka - Fish,Appetizers,Non Veg,280,GST 5%,,Indian,Fish
Tikka - Mushroom,Appetizers,Veg ,190,GST 5%,,Indian,Mushroom
Tikka - Paneer,Appetizers,Veg ,220,GST 5%,,Indian,Paneer
Tikka - Prawn,Appetizers,Non Veg,280,GST 5%,,Indian,Prawns
Tikkis - 6 Pieces - Chicken,Kick Grass Specials,Non Veg,180,GST 5%,,Indian,Chicken
Tikkis - 6 Pieces - Paneer,Kick Grass Specials,Veg,160,GST 5%,,Indian,Paneer
Tomato Rice,Main Course,Rice Varieties,80,GST 5%,,Indian,
Tornado Potatoes,Appetizers,Veg,100,GST 5%,,Continental,
Tossed Salad,Sides,Salads,90,GST 5%,,Continental,
Twisted Lamb Kebabs,Appetizers,Non Veg,240,GST 5%,,Indian,Mutton
Vanilla - I/C - Regular,Desserts,Icecreams,70,GST 5%,,Indian,
Vanilla - I/C - Single,Desserts,Icecreams,35,GST 5%,,Indian,
Vanilla M/S,Beverages,Milkshakes,120,GST 5%,,Indian,
Vanilla Wonders,Beverages,Milkshakes,140,GST 5%,,Indian,
Veg  Biryani,Main Course,Biryanis,130,GST 5%,,Indian,
Veg Achar,Rolls,Veg ,90,GST 5%,,Indian,
Veg Burger,Burgers,Veg,170,GST 5%,,,
Veg Cheese Balls,Appetizers,Veg,220,GST 5%,,Continental,
Veg Cheese Sandwich,Sandwiches,Veg ,140,GST 5%,,Continental,
Veg Chettinadu Masala,Curries,Veg,180,GST 5%,,Indian,
Veg Club Sandwich,Sandwiches,Veg ,110,GST 5%,,Continental,
Veg Falafel,Rolls,Veg ,100,GST 5%,,Indian,
Veg Gold Coin,Appetizers,Veg,130,GST 5%,,Continental,
Veg Kadai,Curries,Veg,180,GST 5%,,Indian,
Veg Kari Dosa,Dosas,Veg,70,GST 5%,,Indian,
Veg Keema Dosa,Dosas,Veg,60,GST 5%,,Indian,
Veg Lasagna,Snack,Veg,150,GST 5%,Lasagna,Continental,
Veg Lollypop,Appetizers,Veg,120,GST 5%,,Indian,
Veg Pasta - Red,Pastas,Veg,260,GST 5%,,Continental,
Veg Pasta - Red & White,Pastas,Veg,260,GST 5%,,Continental,
Veg Pasta - White,Pastas,Veg,260,GST 5%,,Continental,
Veg Pulao,Main Course,Rice Varieties,170,GST 5%,,Indian,
Veg Roll,Rolls,Veg ,120,GST 5%,,Indian,
Veg Sandwich,Sandwiches,Veg ,120,GST 5%,,Continental,
Veg Sheek Kebab,Appetizers,Veg,130,GST 5%,,Indian,
Veg Sizzlers,Sizzlers,Veg,280,GST 5%,,Continental,
Veg Spring Roll,Appetizers,Veg,120,GST 5%,,Indian,
Veg Supreme Pizza - Large,Pizzas,Veg ,440,GST 5%,Veg Supreme Pizza,Continental,
Veg Supreme Pizza - Regular,Pizzas,Veg ,180,GST 5%,Veg Supreme Pizza,Continental,
Veg Supreme Pizza - Small,Pizzas,Veg ,290,GST 5%,Veg Supreme Pizza,Continental,
Veggie Classic - Large,Pizzas,Veg ,290,GST 5%,Veggie Classic,Continental,
Veggie Classic - Regular,Pizzas,Veg ,190,GST 5%,Veggie Classic,Continental,
Veggie Cloud 9 - Large,Pizzas,Veg ,300,GST 5%,Veggie Cloud,Continental,
Veggie Cloud 9 - Regular,Pizzas,Veg ,200,GST 5%,Veggie Cloud,Continental,
Water Bottle - 1ltr,Sides,Sides,25,-,,,
Watermelon Juice,Beverages,Fresh Juice,60,GST 5%,,Indian,
Wheat Kothu Parotta - Chicken,Main Course,Indian Breads,140,GST 5%,Wheat Kothu Parotta,Indian,Chicken
Wheat Kothu Parotta - Egg,Main Course,Indian Breads,130,GST 5%,Wheat Kothu Parotta,Indian,Egg
Wheat Kothu Parotta - Paneer,Main Course,Indian Breads,130,GST 5%,Wheat Kothu Parotta,Indian,Paneer
Wheat Kothu Parotta - Veg,Main Course,Indian Breads,110,GST 5%,Wheat Kothu Parotta,Indian,
Wheat Paratha,Main Course,Indian Breads,45,GST 5%,,Indian,
